Body_value,CA-value,Cheeks-value,Eye_Ap-value,Eyebrows-value,Eyegaze-value,Head-value
SHOULDERS,null,null,SQ,eyebrow movement,+hands,TURN
SHOULDERS,null,null,SQ,eyebrow movement,side,TURN
SHOULDERS,CA,null,CLOSED,eyebrow movement,side,TILT
null,null,null,CLOSED,eyebrow movement,null,TILT
null,null,null,//,null,side,null
null,null,null,null,null,side,null
null,CD,null,null,null,side,TILT
null,null,null,null,eyebrow movement,side,TURN
null,null,null,null,eyebrow movement,side,TURN
null,null,null,//,eyebrow movement,side,TURN
null,null,null,null,null,side,TURN
LEAN,CA,null,SQ > // > SQ,eyebrow movement,side > +hands > side & UpDn,TURN > TILT
LEAN,CA,null,SQ,eyebrow movement,side & UpDn,TURN
null,null,null,SQ,eyebrow movement,side & UpDn,TURN
null,null,null,SQ,eyebrow movement,side & UpDn,TURN
null,null,null,SQ,eyebrow movement,side & UpDn,TURN
null,null,null,SQ > //,eyebrow movement,side & UpDn,TURN
null,null,null,// > SQ,eyebrow movement,side & UpDn,TILT
null,null,null,//,null,side & UpDn > side,TILT > TURN
TWIST,null,null,null,null,side,TURN
TWIST,null,null,null,eyebrow movement,side,TURN
LEAN,CA,null,null,eyebrow movement,side,TURN
LEAN,CA,null,//,eyebrow movement,side,TURN
LEAN,CA,null,//,eyebrow movement,side,TURN
LEAN,CD,null,null,eyebrow movement,side,TURN
LEAN,CD,null,null,eyebrow movement,side,TURN
LEAN,CA,null,null,eyebrow movement,side & UpDn,TURN
LEAN,null,null,SQ,eyebrow movement,side & UpDn,PUSH
LEAN,null,null,SQ,eyebrow movement,side & UpDn,PUSH
LEAN,null,null,SQ,eyebrow movement,side & UpDn,PUSH
LEAN,null,null,SQ > //,eyebrow movement,side & UpDn,PUSH
LEAN,null,null,//,null,UpDn,PUSH
SHOULDERS,null,null,null,eyebrow movement,+dh,TURN
SHOULDERS,null,null,null,eyebrow movement,+dh,null
SHOULDERS,null,null,null,eyebrow movement,side & UpDn,null
null,null,null,null,eyebrow movement,side & UpDn,null
null,CA,null,null,null,side & UpDn,null
null,null,null,null,eyebrow movement,side & UpDn,null
null,CA,null,null,eyebrow movement,side & UpDn > side,TURN
LEAN,CA,null,null,eyebrow movement,side,TURN
LEAN,CA,null,null,eyebrow movement,side & UpDn,TURN
LEAN,null,null,SQ,eyebrow movement,side & UpDn,TILT
LEAN,null,null,SQ,eyebrow movement,side & UpDn,TILT
LEAN,null,null,SQ,eyebrow movement,side & UpDn,TILT
LEAN,null,null,SQ,eyebrow movement,side,TURN
LEAN,CA,null,null,eyebrow movement,side,TURN
LEAN,CA,null,null,null,side,TURN
LEAN,CA,null,null,null,side,TURN
LEAN,CA,null,null,eyebrow movement,side & UpDn,TURN
null,null,null,null,eyebrow movement,side & UpDn,TILT
null,null,null,null,eyebrow movement,side & UpDn,TILT
null,null,null,null,eyebrow movement,side & UpDn,TILT
null,null,null,null,eyebrow movement,side & UpDn,TILT
null,null,null,WD,eyebrow movement,side & UpDn,TILT
LEAN,CA,null,WD,eyebrow movement,side & UpDn,PUSH
LEAN,CA,null,WD,eyebrow movement,side & UpDn,PUSH
LEAN,null,null,WD > //,eyebrow movement,side & UpDn > side,PUSH > TILT
LEAN,null,null,null,null,side,null
null,null,null,null,eyebrow movement,side,null
null,null,null,null,eyebrow movement,side,null
null,null,null,null,null,side,null
LEAN,null,null,null,null,side,null
LEAN,null,null,null,null,side,null
LEAN,null,null,//,null,side > UpDn,Headnod
null,null,null,//,eyebrow movement,UpDn > side & UpDn,TURN
null,CA,null,WD,eyebrow movement,side & UpDn,TURN
null,CA,cheek movement,WD,eyebrow movement,side & UpDn,TURN
null,CA,cheek movement,WD > //,eyebrow movement,side & UpDn,Headnod
null,null,null,// > //,eyebrow movement,side & UpDn,TILT
TWIST,null,null,SQ,eyebrow movement,side,TILT
TWIST,null,null,CLOSED,eyebrow movement,side,TURN
LEAN,CA,null,CLOSED > SQ,eyebrow movement,side,Headnod
LEAN,CA,null,null,eyebrow movement,side,Headnod
LEAN,CA,null,//,eyebrow movement,side,Headnod
null,CA,null,//,eyebrow movement,side,Headnod
