,,,,,,,,,,,,,,,,
,"Cite: Smith, R. G., & Hofmann, M. (2020). A Lexical Frequency Analysis of Irish Sign Language. TEANGA, the Journal of the Irish Association for Applied Linguistics, 11, 18–47. https://doi.org/10.35903/teanga.v11i1.162",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Sign frequency list for the entire SOI corpus. This list has not been processed for alternates, ",,,,,,,,,,,,,,,
,"e.g., row 1: Index+me, 5: INDEX-Me, 10: INDEX+ME*, 17: INDEX-Me*",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Lexical Gloss,Freq,% of unique glosses,% of all glosses,per 1000 words,,,,,,,,,,,
258,INDEX+ME,7,0.17%,0.06%,0.6,,,,,,,,,,,
259,INDEX+f+hi,7,0.17%,0.06%,0.6,,,,,,,,,,,
260,INDEX+nd,7,0.17%,0.06%,0.6,,,,,,,,,,,
261,LAST,7,0.17%,0.06%,0.6,,,,,,,,,,,
262,LOOK-FOR,7,0.17%,0.06%,0.6,,,,,,,,,,,
263,LUCKY,7,0.17%,0.06%,0.6,,,,,,,,,,,
264,MAYBE,7,0.17%,0.06%,0.6,,,,,,,,,,,
265,MORE,7,0.17%,0.06%,0.6,,,,,,,,,,,
266,NERVOUS,7,0.17%,0.06%,0.6,,,,,,,,,,,
267,OWL,7,0.17%,0.06%,0.6,,,,,,,,,,,
268,PANIC,7,0.17%,0.06%,0.6,,,,,,,,,,,
269,PERFECT,7,0.17%,0.06%,0.6,,,,,,,,,,,
270,PLAY-VIOLIN,7,0.17%,0.06%,0.6,,,,,,,,,,,
271,SHAPE-OF-LOG,7,0.17%,0.06%,0.6,,,,,,,,,,,
272,SHOULD,7,0.17%,0.06%,0.6,,,,,,,,,,,
273,SIGN,7,0.17%,0.06%,0.6,,,,,,,,,,,
274,STAY,7,0.17%,0.06%,0.6,,,,,,,,,,,
275,THOMAS-O'CALLAGHAN,7,0.17%,0.06%,0.6,,,,,,,,,,,
276,TOMORROW,7,0.17%,0.06%,0.6,,,,,,,,,,,
277,TWO-OF-US,7,0.17%,0.06%,0.6,,,,,,,,,,,
278,VERY,7,0.17%,0.06%,0.6,,,,,,,,,,,
279,WATCH,7,0.17%,0.06%,0.6,,,,,,,,,,,
280,WIN,7,0.17%,0.06%,0.6,,,,,,,,,,,
281,WORRY,7,0.17%,0.06%,0.6,,,,,,,,,,,
282,gesture 2XCL-5 PALMS UP,7,0.17%,0.06%,0.6,,,,,,,,,,,
283,index+f,7,0.17%,0.06%,0.6,,,,,,,,,,,
284,'thumbs up',6,0.15%,0.05%,0.5,,,,,,,,,,,
285,* 2xCL-5 palms up,6,0.15%,0.05%,0.5,,,,,,,,,,,
286,*GLASS,6,0.15%,0.05%,0.5,,,,,,,,,,,
287,*WHY,6,0.15%,0.05%,0.5,,,,,,,,,,,
288,2XINDEX+me,6,0.15%,0.05%,0.5,,,,,,,,,,,
289,ABOUT*,6,0.15%,0.05%,0.5,,,,,,,,,,,
290,AFTER,6,0.15%,0.05%,0.5,,,,,,,,,,,
291,AGAINST,6,0.15%,0.05%,0.5,,,,,,,,,,,
292,AGO,6,0.15%,0.05%,0.5,,,,,,,,,,,
293,BELIEVE,6,0.15%,0.05%,0.5,,,,,,,,,,,
294,CHAIR,6,0.15%,0.05%,0.5,,,,,,,,,,,
295,CROSS,6,0.15%,0.05%,0.5,,,,,,,,,,,
296,D,6,0.15%,0.05%,0.5,,,,,,,,,,,
297,FALL,6,0.15%,0.05%,0.5,,,,,,,,,,,
298,FINALLY,6,0.15%,0.05%,0.5,,,,,,,,,,,
299,FIX,6,0.15%,0.05%,0.5,,,,,,,,,,,
