Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine
"{Body_value=LEAN,Cheeks.value=null} ", {Eye_Ap.value=WD},0.06,0.13,0.45,1.24,180,1.03,0.12
"{Eyegaze.value=UpDn,Head.value=TILT} ", {Body_value=LEAN},0.03,0.58,0.05,1.24,95,1.27,0.07
"{Cheeks.value=null,Eyegaze.value=side} ", {Eye_Ap.value=null},0.10,0.51,0.19,1.24,292,1.20,0.19
"{CA.value=CA,Head.value=TILT} ", {Body_value=LEAN},0.05,0.58,0.08,1.24,140,1.27,0.09
"{Eyebrows.value=eyebrow movement,Eyegaze.value=side} ", {Body_value=null},0.06,0.46,0.12,1.24,171,1.17,0.13
{Eyegaze.value=side & UpDn} , {Head.value=TURN},0.10,0.37,0.27,1.24,290,1.11,0.21
{Head.value=TURN} , {Eyegaze.value=side & UpDn},0.10,0.33,0.29,1.24,290,1.10,0.21
"{Eye_Ap.value=null,Head.value=null} ", {CA.value=null},0.04,0.81,0.05,1.24,130,1.81,0.07
"{CA.value=CA,Eye_Ap.value=null} ", {Head.value=TURN},0.04,0.36,0.12,1.24,127,1.11,0.12
"{Body_value=LEAN,Eyebrows.value=eyebrow movement} ", {CA.value=CA},0.09,0.39,0.24,1.24,273,1.12,0.20
"{CA.value=CA,Eyegaze.value=side & UpDn} ", {Body_value=LEAN},0.06,0.58,0.10,1.24,167,1.26,0.11
"{Body_value=LEAN,Eye_Ap.value=WD} ", {Eyebrows.value=eyebrow movement},0.04,0.65,0.06,1.23,121,1.35,0.07
"{Body_value=LEAN,CA.value=CA} ", {Eyegaze.value=side & UpDn},0.06,0.33,0.17,1.23,167,1.09,0.15
"{Body_value=null,CA.value=CA} ", {Eyebrows.value=eyebrow movement},0.05,0.65,0.08,1.23,155,1.34,0.09
"{Body_value=LEAN,Eyebrows.value=null} ", {Eye_Ap.value=//},0.04,0.19,0.23,1.23,132,1.04,0.13
"{CA.value=CA,Eyegaze.value=side & UpDn} ", {Head.value=TURN},0.04,0.36,0.10,1.23,105,1.11,0.10
{Eyegaze.value=side} , {Eye_Ap.value=null},0.10,0.50,0.20,1.23,293,1.19,0.19
{Eye_Ap.value=null} , {Eyegaze.value=side},0.10,0.24,0.41,1.23,293,1.06,0.19
"{Cheeks.value=null,Eyegaze.value=side & UpDn} ", {Head.value=TURN},0.09,0.36,0.25,1.23,274,1.11,0.20
"{Eyebrows.value=null,Eyegaze.value=side & UpDn} ", {Body_value=LEAN},0.07,0.57,0.12,1.23,209,1.25,0.13
"{CA.value=null,Eyegaze.value=UpDn} ", {Eyebrows.value=null},0.04,0.58,0.07,1.23,119,1.26,0.08
"{CA.value=null,Eyebrows.value=null} ", {Eyegaze.value=UpDn},0.04,0.12,0.34,1.23,119,1.02,0.10
"{Eye_Ap.value=//,Head.value=TILT} ", {CA.value=null},0.04,0.80,0.05,1.22,118,1.72,0.06
"{Body_value=null,Cheeks.value=null} ", {Eyegaze.value=+camera},0.05,0.15,0.37,1.22,161,1.03,0.12
